Row Labels,Sum of SE
0.00000000983709-0.00100000983709,4.83050848
0.00100000983709-0.00200000983709,10.60204487
0.00200000983709-0.00300000983709,14.74757392
0.00300000983709-0.00400000983709,18.94407997
0.00400000983709-0.00500000983709,22.27754282
0.00500000983709-0.00600000983709,25.15617169
0.00600000983709-0.00700000983709,33.63055413
0.00700000983709-0.00800000983709,39.47490421
0.00800000983709-0.00900000983709,45.17179926
0.00900000983709-0.01000000983709,48.10169642
0.01000000983709-0.01100000983709,49.4028951
0.01100000983709-0.01200000983709,50.3583371
0.01200000983709-0.01300000983709,52.4019259
0.01300000983709-0.01400000983709,53.7276596
0.01400000983709-0.01500000983709,56.7334912
0.01500000983709-0.01600000983709,58.0734179
0.01600000983709-0.01700000983709,57.2194712
0.01700000983709-0.01800000983709,62.1431488
0.01800000983709-0.01900000983709,60.7239756
0.01900000983709-0.02000000983709,63.0883747
0.02000000983709-0.02100000983709,65.5671344
0.02100000983709-0.02200000983709,68.1334211
0.02200000983709-0.02300000983709,69.2083466
0.02300000983709-0.02400000983709,72.8607021
0.02400000983709-0.02500000983709,75.9828334
0.02500000983709-0.02600000983709,80.0766639
0.02600000983709-0.02700000983709,82.5839888
0.02700000983709-0.02800000983709,82.200862
0.02800000983709-0.02900000983709,82.1212057
0.02900000983709-0.03000000983709,88.3796978
0.03000000983709-0.03100000983709,99.3650284
0.03100000983709-0.03200000983709,94.3057545
0.03200000983709-0.03300000983709,92.7774841
0.03300000983709-0.03400000983709,94.8928571
0.03400000983709-0.03500000983709,94.7969841
0.03500000983709-0.03600000983709,96.6189324
0.03600000983709-0.03700000983709,101.0113438
0.03700000983709-0.03800000983709,115.7574844
0.03800000983709-0.03900000983709,122.8057695
0.03900000983709-0.04000000983709,129.4139215
0.04000000983709-0.04100000983709,124.988648
0.04100000983709-0.04200000983709,135.0274573
0.04200000983709-0.04300000983709,134.1782376
0.04300000983709-0.04400000983709,140.2355303
0.04400000983709-0.04500000983709,142.2495674
0.04500000983709-0.04600000983709,154.0786593
0.04600000983709-0.04700000983709,158.2110249
0.04700000983709-0.04800000983709,166.1299957
0.04800000983709-0.04900000983709,167.0758475
0.04900000983709-0.05000000983709,173.7143216
0.05000000983709-0.05100000983709,190.8409945
0.05100000983709-0.05200000983709,201.8370917
