wl	n
0.035424054	0.583214935
0.03562764	0.578675864
0.03583358	0.573399388
0.036041915	0.565914051
0.036252686	0.56065836
0.036465937	0.556383504
0.036681712	0.552290368
0.036900056	0.547909942
0.037121014	0.542448069
0.037344635	0.535836659
0.037570966	0.527803041
0.037800057	0.52220281
0.038031959	0.517433443
0.038266725	0.512006701
0.038504406	0.507291627
0.038745059	0.504662104
0.038988738	0.501667259
0.039235502	0.499315951
0.03948541	0.495016722
0.039738522	0.490608844
0.039994899	0.488554589
0.040254606	0.486780949
0.040517708	0.485225764
0.040784272	0.484043826
0.041054367	0.483594247
0.041328062	0.48357126
0.041605432	0.484069971
0.04188655	0.48538076
0.042171492	0.486431227
0.042460338	0.486079758
0.042753168	0.48596997
0.043050065	0.486307294
0.043351114	0.488390971
0.043656404	0.491085617
0.043966024	0.49244456
0.044280067	0.492542889
0.044598629	0.493509215
0.044921807	0.497471099
0.045249703	0.501239332
0.045582422	0.504654278
0.045920069	0.509139186
0.046262757	0.51323753
0.046610597	0.515837381
0.046963707	0.519880731
0.047322209	0.524786095
0.047686226	0.528347107
0.048055887	0.532107442
0.048431323	0.536417544
0.048812672	0.541485997
0.049200074	0.548503562
0.049593675	0.554348811
0.049993624	0.559252379
0.050400076	0.565162195
0.050813192	0.568990699
0.051233135	0.574419134
0.051660078	0.579265088
0.052094196	0.582877889
0.052535673	0.58646844
0.052984695	0.589757469
0.05344146	0.59105466
0.053906168	0.586551489
0.05437903	0.578646602
0.05486026	0.568726782
0.055350084	0.555182871
0.055848733	0.537123766
0.056356449	0.510984873
0.05687348	0.490474033
0.057400087	0.479116914
0.057936536	0.458121418
0.058483107	0.463451759
0.059040089	0.447722513
0.059607782	0.455342139
0.060186499	0.471425905
0.060776562	0.485115832
0.061378311	0.493804792
0.061992094	0.498265203
0.062618276	0.497729072
0.063257238	0.506123764
0.063909375	0.519125279
0.064575098	0.534677112
0.065254835	0.550299926
0.065949036	0.568628733
0.066658165	0.585028763
0.067382711	0.602293284
0.06812318	0.619096438
0.068880104	0.635479931
0.069654038	0.655453557
0.070445561	0.678052669
0.07125528	0.697565216
0.07208383	0.716590193
0.072931875	0.736236139
0.073800112	0.755633875
0.07468927	0.769496871
0.075600114	0.784445746
0.076533449	0.812445672
0.077490117	0.839416169
0.078471005	0.865252976
0.079477043	0.886732909
0.080509213	0.906526837
0.081568544	0.922355886
0.082656125	0.940894946
0.0837731	0.970857101
0.084920676	0.985909306
0.08610013	1.002699549
0.087312808	1.02097684
0.088560134	1.036238828
0.089843614	1.056261169
0.091164844	1.08581851
0.092525513	1.101946413
0.093927415	1.135452604
0.095372452	1.212605892
0.096862646	1.343443209
0.098400149	1.681473227
0.099987248	2.081871706
0.101626383	2.554375266
0.103320156	2.84776234
0.105071345	3.056734227
0.10688292	3.278336041
0.108758059	3.435716492
0.110700167	3.507684294
0.112712898	3.491003626
0.114800174	3.5007246
0.116966215	3.499986042
0.119215565	3.471874137
0.121553125	3.453724543
0.123984187	3.421354567
0.126514477	3.377252672
0.129150195	3.324621093
0.131898072	3.291816094
0.134765421	3.262684996
0.137760208	3.24502588
0.140891122	3.231241782
0.14416766	3.226110768
0.147600223	3.223172207
0.151200229	3.234771684
0.154980234	3.252177914
0.158954086	3.28216011
0.163137089	3.324754329
0.167546199	3.371081124
0.17220026	3.424489172
0.177120268	3.283856562
0.182329687	3.109669193
0.187854829	2.98894561
0.193725293	2.922320602
0.199974496	2.862916245
0.206640312	2.817567588
0.21376584	2.77148488
0.221400335	2.727705996
0.229600347	2.690741533
0.23843113	2.666955193
0.247968375	2.63873644
0.25830039	2.605956638
0.269530842	2.5817649
0.281782244	2.560884613
0.295200446	2.541324458
0.309960469	2.523632303
0.326274177	2.505813241
0.344400521	2.487866556
0.364659375	2.473323675
0.387450586	2.464986815
0.413280625	2.455051934
0.442800669	2.441251728
0.476862259	2.431478974
0.516600781	2.427076431
0.563564488	2.420857286
0.619920937	2.411429037
0.688801041	2.406543164
0.774901171	2.406202402
0.885601339	2.400035416
1.033201562	2.390522955
1.239841874	2.388124787
1.549802343	2.387783491
2.066403124	2.38324149
3.099604686	2.378520549
6.199209372	2.378175771
10.00000000	2.377833047
