wl	n
0.3400	1.7115381830437
0.3521	1.704544911978
0.3642	1.6985230989537
0.3763	1.6932906311148
0.3884	1.6887067416759
0.4005	1.6846612852101
0.4126	1.6810670801722
0.4247	1.6778543726621
0.4368	1.6749667854653
0.4489	1.6723583196028
0.4610	1.6699911103755
0.4731	1.6678337303114
0.4852	1.6658598927883
0.4973	1.6640474522212
0.5094	1.6623776259159
0.5215	1.6608343831716
0.5336	1.6594039617092
0.5457	1.6580744818739
0.5578	1.6568356365358
0.5699	1.655678440061
0.5820	1.6545950237272
0.5941	1.6535784679181
0.6062	1.652622663645
0.6183	1.651722197607
0.6304	1.6508722562633
0.6425	1.6500685453533
0.6546	1.6493072220421
0.6667	1.6485848374386
0.6788	1.6478982876834
0.6909	1.6472447721502
0.7030	1.646621757581
0.7151	1.6460269471935
0.7272	1.645458253974
0.7393	1.6449137775068
0.7514	1.6443917838049
0.7635	1.6438906876974
0.7756	1.6434090374027
0.7877	1.642945500976
0.7998	1.6424988543719
0.8119	1.6420679709
0.8240	1.6416518118882
0.8361	1.6412494183957
0.8482	1.6408599038384
0.8603	1.6404824474149
0.8724	1.6401162882298
0.8845	1.6397607200331
0.8966	1.6394150864986
0.9087	1.6390787769807
0.9208	1.6387512226918
0.9329	1.6384318932549
0.9450	1.6381202935864
0.9571	1.6378159610761
0.9692	1.6375184630291
0.9813	1.6372273943436
0.9934	1.6369423753993
1.006	1.6366516252997
1.018	1.6363801153913
1.030	1.6361135578832
1.042	1.6358516652304
1.054	1.6355941666865
1.066	1.6353408071266
1.078	1.6350913459669
1.090	1.6348455561709
1.102	1.6346032233353
1.114	1.6343641448468
1.127	1.6341085936221
1.139	1.6338756915672
1.151	1.6336454853936
1.163	1.6334178131747
1.175	1.6331925213898
1.187	1.6329694644014
1.199	1.6327485039697
1.211	1.6325295088025
1.223	1.6323123541367
1.235	1.6320969213485
1.248	1.6318653481711
1.260	1.6316531464905
1.272	1.6314423358543
1.284	1.6312328192045
1.296	1.6310245040199
1.308	1.6308173020611
1.320	1.6306111291333
1.332	1.6304059048636
1.344	1.6302015524924
1.356	1.6299979986789
1.369	1.6297783019635
1.381	1.6295761901981
1.393	1.6293746704885
1.405	1.6291736816721
1.417	1.6289731651853
1.429	1.6287730649302
1.441	1.6285733271503
1.453	1.6283739003123
1.465	1.6281747349958
1.477	1.6279757837888
1.490	1.6277604422016
1.502	1.6275617930183
1.514	1.6273632233823
1.526	1.6271646931196
1.538	1.6269661636186
1.550	1.6267675977576
