wl	n
0.3500	1.6562321446016
0.3715	1.6498859868883
0.3930	1.6447262868888
0.4145	1.6404596428358
0.4360	1.6368810801808
0.4575	1.6338429108434
0.4790	1.6312360054552
0.5005	1.6289780097054
0.5220	1.6270056509635
0.5435	1.6252695583494
0.5650	1.6237306828927
0.5865	1.6223577673628
0.6080	1.621125522704
0.6295	1.6200132909442
0.6510	1.6190040497134
0.6725	1.6180836608903
0.6940	1.6172402964716
0.7155	1.6164639949284
0.7370	1.6157463148756
0.7585	1.6150800621672
0.7800	1.6144590729912
0.8015	1.6138780400925
0.8230	1.6133323725192
0.8445	1.6128180816415
0.8660	1.6123316879271
0.8875	1.6118701442334
0.9090	1.6114307723331
0.9305	1.6110112101112
0.9520	1.6106093674202
0.9735	1.6102233889973
0.9950	1.6098516231767
1.017	1.6094843865839
1.038	1.6091449855516
1.060	1.6087998759387
1.081	1.6084793994594
1.103	1.6081520442631
1.124	1.6078467285485
1.146	1.6075335635361
1.167	1.6072403266406
1.189	1.6069384204963
1.210	1.6066547170112
1.232	1.6063616388241
1.253	1.6060853494786
1.275	1.6057990675107
1.296	1.6055284143869
1.318	1.6052472179339
1.339	1.6049806987035
1.361	1.604703137202
1.382	1.6044394736456
1.404	1.6041643087979
1.425	1.6039024061589
1.447	1.6036285739799
1.468	1.603367488617
1.490	1.6030940691154
1.511	1.6028329825652
1.533	1.6025591753468
1.554	1.602297373382
1.576	1.6020224778856
1.597	1.6017593334942
1.619	1.6014827328777
1.640	1.601217692343
1.662	1.6009388402659
1.683	1.6006714117159
1.705	1.6003898214357
1.726	1.6001195653708
1.748	1.5998348006996
1.769	1.5995613221154
1.791	1.5992729898792
1.812	1.5989959316829
1.834	1.5987036754045
1.855	1.5984227128848
1.877	1.5981262074652
1.898	1.5978410436269
1.920	1.5975399908474
1.941	1.5972503524561
1.963	1.5969444771577
1.984	1.5966501113738
2.006	1.5963391581978
2.027	1.5960398296979
2.049	1.5957235602934
2.070	1.5954190487999
2.092	1.5950972394226
2.113	1.5947873375739
2.135	1.594459777011
2.156	1.5941442885192
2.178	1.593810776291
2.199	1.5934895143401
2.221	1.5931498591342
2.242	1.5928226449837
2.264	1.5924766632864
2.285	1.5921433250481
2.307	1.5917908399428
2.328	1.5914512115051
2.350	1.5910920516147
2.371	1.590745971693
2.393	1.590379970243
2.414	1.5900272815378
2.436	1.5896542755248
2.457	1.5892948239717
2.479	1.5889146534208
2.500	1.5885482875201
