wl	n
0.3100	1.5445944561782
0.3302	1.5388124634514
0.3503	1.5341576765212
0.3705	1.5303078580553
0.3906	1.5271096471551
0.4108	1.5243925659242
0.4309	1.5220820076018
0.4511	1.5200781144961
0.4712	1.5183422672529
0.4914	1.5168114426766
0.5115	1.5154649839576
0.5317	1.5142607415554
0.5518	1.5131876136996
0.5720	1.5122160554049
0.5921	1.5113402946106
0.6123	1.5105387909098
0.6324	1.5098088538752
0.6526	1.5091342389206
0.6727	1.5085140866612
0.6929	1.5079357768277
0.7130	1.5073995604554
0.7332	1.506895368822
0.7533	1.5064241364636
0.7735	1.5059776342245
0.7936	1.5055572217492
0.8138	1.505156023013
0.8339	1.5047756639089
0.8541	1.504410280665
0.8742	1.5040616667747
0.8944	1.5037247264328
0.9145	1.5034013592384
0.9347	1.5030870587622
0.9548	1.5027837925115
0.9750	1.5024875105154
0.9951	1.5022002247851
1.015	1.5019223835303
1.035	1.5016490146119
1.056	1.5013675820995
1.076	1.5011042603806
1.096	1.5008449758595
1.116	1.5005892296569
1.136	1.5003365662015
1.156	1.5000865686677
1.176	1.4998388549627
1.197	1.4995808299868
1.217	1.4993367318119
1.237	1.4990939319558
1.257	1.4988521568192
1.277	1.4986111533604
1.297	1.4983706871599
1.318	1.4981185380735
1.338	1.4978785099879
1.358	1.4976384021773
1.378	1.4973980397535
1.398	1.4971572593771
1.418	1.4969159082562
1.438	1.496673843242
1.459	1.4964187597885
1.479	1.496174820209
1.499	1.4959297816062
1.519	1.4956835322989
1.539	1.4954359668374
1.559	1.4951869855029
1.579	1.494936493851
1.600	1.4946717541762
1.620	1.4944178912018
1.640	1.4941622582936
1.660	1.4939047784691
1.680	1.4936453782513
1.700	1.4933839874017
1.721	1.493107311051
1.741	1.4928416322039
1.761	1.4925737660481
1.781	1.4923036531436
1.801	1.4920312362314
1.821	1.4917564600702
1.841	1.491479271285
1.862	1.4911855699831
1.882	1.4909032755987
1.902	1.4906184159234
1.922	1.4903309438119
1.942	1.4900408133744
1.962	1.4897479798795
1.982	1.4894523996648
2.003	1.4891390375969
2.023	1.4888376941748
2.043	1.4885334766175
2.063	1.4882263447862
2.083	1.4879162592389
2.103	1.4876031811696
2.124	1.4872711866759
2.144	1.4869518550077
2.164	1.4866294158195
2.184	1.4863038323382
2.204	1.4859750681733
2.224	1.4856430872756
2.244	1.4853078538971
2.265	1.4849523195442
2.285	1.4846103078975
2.305	1.4842649362209
2.325	1.4839161696234
