wl	n
0.3200	1.6960159973168
0.3418	1.6792863817469
0.3636	1.6669182098311
0.3854	1.6573940544685
0.4072	1.6498389053132
0.4290	1.6437075634521
0.4508	1.6386403748737
0.4726	1.6343894843741
0.4944	1.6307780819033
0.5162	1.6276764589349
0.5380	1.6249872306899
0.5598	1.6226358392307
0.5816	1.6205642409652
0.6034	1.618726589287
0.6252	1.6170862085963
0.6470	1.6156134279361
0.6688	1.6142840009488
0.6906	1.6130779343831
0.7124	1.6119786067162
0.7342	1.6109720962893
0.7560	1.6100466630529
0.7778	1.609192344483
0.7996	1.6084006374105
0.8214	1.6076642452366
0.8432	1.6069768754282
0.8650	1.6063330760472
0.8868	1.6057281028497
0.9086	1.6051578105254
0.9304	1.6046185631406
0.9522	1.6041071599696
0.9740	1.6036207737376
0.9958	1.6031568989353
1.018	1.6027053457653
1.039	1.6022956659635
1.061	1.6018829278431
1.083	1.6014854114788
1.105	1.6011016463625
1.127	1.6007303090316
1.148	1.6003863458152
1.170	1.6000359569558
1.192	1.5996947864819
1.214	1.5993619421268
1.236	1.5990366120371
1.257	1.598732398702
1.279	1.5984196774406
1.301	1.5981124625359
1.323	1.5978101846034
1.345	1.5975123207903
1.366	1.5972316717074
1.388	1.5969410816112
1.410	1.5966535905313
1.432	1.5963688191405
1.454	1.596086416302
1.475	1.5958187601408
1.497	1.5955400682108
1.519	1.5952628483456
1.541	1.5949868380015
1.563	1.5947117923703
1.584	1.5944499385773
1.606	1.5941761321355
1.628	1.5939026567421
1.650	1.5936293241928
1.672	1.5933559577932
1.693	1.5930948328486
1.715	1.5928209296124
1.737	1.592546529157
1.759	1.5922714919927
1.781	1.591995686292
1.802	1.5917315856034
1.824	1.5914539235708
1.846	1.5911751428519
1.868	1.5908951366397
1.890	1.5906138033318
1.911	1.5903439309589
1.933	1.5900597284553
1.955	1.5897739255354
1.977	1.5894864377251
1.999	1.5891971841395
2.020	1.5889193599584
2.042	1.5886264340135
2.064	1.5883315219112
2.086	1.5880345546396
2.108	1.5877354656853
2.129	1.5874479334741
2.151	1.5871445142411
2.173	1.5868387897766
2.195	1.5865307018506
2.217	1.5862201939779
2.238	1.585921492229
2.260	1.5856060974337
2.282	1.585288124849
2.304	1.5849675237627
2.326	1.5846442446733
2.347	1.5843331174519
2.369	1.5840044653513
2.391	1.5836729952423
2.413	1.5833386615998
2.435	1.583001419723
2.456	1.5826767536956
2.478	1.5823337013097
2.500	1.5819876128278
