wl	n
0.3500	1.7126880848268
0.3715	1.7044510025682
0.3930	1.6978539633931
0.4145	1.6924597573902
0.4360	1.6879747521657
0.4575	1.6841935148947
0.4790	1.6809676313681
0.5005	1.6781870617363
0.5220	1.6757684467878
0.5435	1.6736474831891
0.5650	1.6717737892968
0.5865	1.6701073530462
0.6080	1.6686160168249
0.6295	1.6672736605352
0.6510	1.6660588657981
0.6725	1.6649539185393
0.6940	1.6639440538738
0.7155	1.6630168772865
0.7370	1.6621619159417
0.7585	1.6613702672977
0.7800	1.6606343213443
0.8015	1.6599475391478
0.8230	1.6593042748862
0.8445	1.6586996317841
0.8660	1.6581293446924
0.8875	1.6575896837763
0.9090	1.6570773750475
0.9305	1.6565895344289
0.9520	1.6561236127606
0.9735	1.6556773497061
0.9950	1.6552487349382
1.017	1.6548265516878
1.038	1.654437466978
1.060	1.6540429437773
1.081	1.6536775961117
1.103	1.6533054286086
1.124	1.6529592555581
1.146	1.6526051263252
1.167	1.6522743972603
1.189	1.6519347603913
1.210	1.6516163982496
1.232	1.6512883169887
1.253	1.6509797631323
1.275	1.6506607860659
1.296	1.6503598966778
1.318	1.6500479623301
1.339	1.6497529281811
1.361	1.6494462907762
1.382	1.6491555745047
1.404	1.6488527456771
1.425	1.6485650323326
1.447	1.6482647349736
1.468	1.6479788927005
1.490	1.6476800241281
1.511	1.6473950726746
1.533	1.6470966750264
1.554	1.6468117603417
1.576	1.6465129966119
1.597	1.6462273702176
1.619	1.6459275047352
1.640	1.6456405068688
1.662	1.6453388892975
1.683	1.6450499350558
1.705	1.6447459872048
1.726	1.64445455509
1.748	1.6441477599817
1.769	1.6438533823822
1.791	1.6435432751429
1.812	1.6432455303826
1.834	1.6429316906162
1.855	1.6426301962805
1.877	1.642312241651
1.898	1.6420066489588
1.920	1.6416842297673
1.941	1.6413742188043
1.963	1.6410470133843
1.984	1.6407322890468
2.006	1.6403999998394
2.027	1.6400802883695
2.049	1.6397426385624
2.070	1.6394176845754
2.092	1.6390744152144
2.113	1.6387439791383
2.135	1.6383948466337
2.156	1.6380587024953
2.178	1.6377034764624
2.199	1.6373614099647
2.221	1.6369998713438
2.242	1.6366516781913
2.264	1.6362836176075
2.285	1.6359291020396
2.307	1.6355543183635
2.328	1.6351932918673
2.350	1.6348115909493
2.371	1.6344438711237
2.393	1.6340550646747
2.414	1.6336804742247
2.436	1.633284378823
2.457	1.6329027446656
2.479	1.6324991808722
2.500	1.6321103333378
