wl	n
0.3500	1.696637369796
0.3715	1.6893724156257
0.3930	1.6835150953183
0.4145	1.6787004620353
0.4360	1.674680244511
0.4575	1.6712788962439
0.4790	1.6683684754387
0.5005	1.665853422208
0.5220	1.6636608970272
0.5435	1.6617344151058
0.5650	1.6600295207367
0.5865	1.6585107705197
0.6080	1.657149582209
0.6295	1.6559226710539
0.6510	1.6548108939005
0.6725	1.6537983819031
0.6940	1.6528718810808
0.7155	1.6520202448789
0.7370	1.6512340394491
0.7585	1.6505052335669
0.7800	1.6498269528293
0.8015	1.6491932831817
0.8230	1.6485991126648
0.8445	1.6480400030357
0.8660	1.6475120849326
0.8875	1.6470119717337
0.9090	1.6465366883661
0.9305	1.6460836121503
0.9520	1.6456504233937
0.9735	1.645235063927
0.9950	1.6448357021477
1.017	1.6444419088127
1.038	1.6440786049296
1.060	1.6437098383663
1.081	1.6433679906056
1.103	1.6430194083807
1.124	1.6426948497938
1.146	1.6423625070823
1.167	1.6420518276471
1.189	1.6417324820483
1.210	1.6414328670553
1.232	1.641123831266
1.253	1.6408329386224
1.275	1.6405319679682
1.296	1.6402478340325
1.318	1.6399530397095
1.339	1.6396740062943
1.361	1.6393837877964
1.382	1.6391084450546
1.404	1.638821437072
1.425	1.6385485784244
1.447	1.6382636087665
1.468	1.6379921950459
1.490	1.6377082510403
1.511	1.637437381752
1.533	1.6371535832173
1.554	1.636882473343
1.576	1.6365980507005
1.597	1.6363260118508
1.619	1.6360402882842
1.640	1.6357667132902
1.662	1.6354790901164
1.683	1.6352034403573
1.705	1.6349133849618
1.726	1.6346351798859
1.748	1.6343422157184
1.769	1.63406102413
1.791	1.6337647223662
1.812	1.633480155146
1.834	1.6331801277026
1.855	1.6328918316945
1.877	1.6325877253509
1.898	1.6322953782064
1.920	1.6319868696349
1.941	1.6316901754431
1.963	1.6313769669883
1.984	1.6310756525582
2.006	1.630757468638
2.027	1.6304512803209
2.049	1.6301278643444
2.070	1.6298165653071
2.092	1.6294876770242
2.113	1.6291710448999
2.135	1.6288364581138
2.156	1.6285142829701
2.178	1.6281737835544
2.199	1.6278458661289
2.221	1.6274992503024
2.242	1.6271654004644
2.264	1.6268124732841
2.285	1.6264725086883
2.307	1.6261130827285
2.328	1.625766827632
2.350	1.6254007218205
2.371	1.6250480060397
2.393	1.6246750446295
2.414	1.6243157026154
2.436	1.6239357142724
2.457	1.6235695842888
2.479	1.6231824012779
2.500	1.6228093246672
