wl	n
0.270	1.45025
0.271	1.45543
0.272	1.46062
0.273	1.46582
0.274	1.47102
0.275	1.47623
0.276	1.48144
0.277	1.48665
0.278	1.49186
0.279	1.49707
0.280	1.50229
0.281	1.50750
0.282	1.51271
0.283	1.51792
0.284	1.52312
0.285	1.52832
0.286	1.53351
0.287	1.53869
0.288	1.54387
0.289	1.54903
0.290	1.55419
0.291	1.55933
0.292	1.56445
0.293	1.56956
0.294	1.57465
0.295	1.57972
0.296	1.58476
0.297	1.58978
0.298	1.59478
0.299	1.59975
0.300	1.60468
0.301	1.60958
0.302	1.61444
0.303	1.61926
0.304	1.62404
0.305	1.62877
0.306	1.63345
0.307	1.63808
0.308	1.64265
0.309	1.64716
0.310	1.65160
0.311	1.65597
0.312	1.66027
0.313	1.66448
0.314	1.66861
0.315	1.67265
0.316	1.67660
0.317	1.68044
0.318	1.68417
0.319	1.68778
0.320	1.69128
0.321	1.69465
0.322	1.69788
0.323	1.70097
0.324	1.70391
0.325	1.70669
0.326	1.70931
0.327	1.71176
0.328	1.71404
0.329	1.71612
0.330	1.71802
0.331	1.71971
0.332	1.72120
0.333	1.72248
0.334	1.72354
0.335	1.72438
0.336	1.72500
0.337	1.72538
0.338	1.72553
0.339	1.72545
0.340	1.72514
0.341	1.72459
0.342	1.72382
0.343	1.72281
0.344	1.72158
0.345	1.72013
0.346	1.71846
0.347	1.71660
0.348	1.71453
0.349	1.71228
0.350	1.70986
0.351	1.70727
0.352	1.70453
0.353	1.70165
0.354	1.69864
0.355	1.69552
0.356	1.69230
0.357	1.68900
0.358	1.68563
0.359	1.68220
0.360	1.67872
0.361	1.67522
0.362	1.67169
0.363	1.66815
0.364	1.66462
0.365	1.66110
0.366	1.65760
0.367	1.65413
0.368	1.65071
0.369	1.64732
0.370	1.64400
0.371	1.64073
0.372	1.63752
0.373	1.63439
0.374	1.63132
0.375	1.62834
0.376	1.62543
0.377	1.62261
0.378	1.61987
0.379	1.61721
0.380	1.61464
0.381	1.61216
0.382	1.60977
0.383	1.60746
0.384	1.60524
0.385	1.60311
0.386	1.60106
0.387	1.59910
0.388	1.59722
0.389	1.59542
0.390	1.59370
0.391	1.59206
0.392	1.59050
0.393	1.58901
0.394	1.58760
0.395	1.58626
0.396	1.58498
0.397	1.58377
0.398	1.58263
0.399	1.58155
0.400	1.58052
0.401	1.57955
0.402	1.57864
0.403	1.57778
0.404	1.57696
0.405	1.57619
0.406	1.57546
0.407	1.57477
0.408	1.57411
0.409	1.57349
0.410	1.57290
0.411	1.57233
0.412	1.57179
0.413	1.57127
0.414	1.57076
0.415	1.57026
0.416	1.56977
0.417	1.56928
0.418	1.56879
0.419	1.56830
0.420	1.56780
0.421	1.56728
0.422	1.56675
0.423	1.56619
0.424	1.56560
0.425	1.56497
0.426	1.56431
0.427	1.56359
0.428	1.56282
0.429	1.56200
0.430	1.56110
0.431	1.56013
0.432	1.55908
0.433	1.55793
0.434	1.55669
0.435	1.55534
0.436	1.55387
0.437	1.55227
0.438	1.55053
0.439	1.54865
0.440	1.54661
0.441	1.54439
0.442	1.54199
0.443	1.53940
0.444	1.53660
0.445	1.53357
0.446	1.53031
0.447	1.52679
0.448	1.52302
0.449	1.51896
0.450	1.51461
0.451	1.50994
0.452	1.50496
0.453	1.49964
0.454	1.49396
0.455	1.48791
0.456	1.48149
0.457	1.47467
0.458	1.46745
0.459	1.45981
0.460	1.45175
0.461	1.44325
0.462	1.43431
0.463	1.42492
0.464	1.41508
0.465	1.40478
0.466	1.39402
0.467	1.38280
0.468	1.37113
0.469	1.35901
0.470	1.34643
0.471	1.33342
0.472	1.31998
0.473	1.30611
0.474	1.29183
0.475	1.27714
0.476	1.26208
0.477	1.24664
0.478	1.23084
0.479	1.21471
0.480	1.19826
0.481	1.18150
0.482	1.16446
0.483	1.14717
0.484	1.12963
0.485	1.11188
0.486	1.09394
0.487	1.07582
0.488	1.05756
0.489	1.03918
0.490	1.02071
0.491	1.00216
0.492	0.98357
0.493	0.96497
0.494	0.94637
0.495	0.92780
0.496	0.90930
0.497	0.89088
0.498	0.87257
0.499	0.85439
0.500	0.83636
0.501	0.81852
0.502	0.80087
0.503	0.78345
0.504	0.76626
0.505	0.74933
0.506	0.73268
0.507	0.71631
0.508	0.70024
0.509	0.68448
0.510	0.66904
0.511	0.65394
0.512	0.63917
0.513	0.62474
0.514	0.61067
0.515	0.59694
0.516	0.58357
0.517	0.57055
0.518	0.55787
0.519	0.54555
0.520	0.53358
0.521	0.52195
0.522	0.51066
0.523	0.49970
0.524	0.48907
0.525	0.47876
0.526	0.46877
0.527	0.45909
0.528	0.44971
0.529	0.44062
0.530	0.43181
0.531	0.42329
0.532	0.41503
0.533	0.40704
0.534	0.39930
0.535	0.39180
0.536	0.38455
0.537	0.37752
0.538	0.37072
0.539	0.36413
0.540	0.35775
0.541	0.35158
0.542	0.34559
0.543	0.33979
0.544	0.33418
0.545	0.32873
0.546	0.32346
0.547	0.31835
0.548	0.31339
0.549	0.30858
0.550	0.30392
0.551	0.29940
0.552	0.29501
0.553	0.29075
0.554	0.28662
0.555	0.28260
0.556	0.27871
0.557	0.27492
0.558	0.27125
0.559	0.26768
0.560	0.26421
0.561	0.26083
0.562	0.25755
0.563	0.25436
0.564	0.25126
0.565	0.24824
0.566	0.24530
0.567	0.24245
0.568	0.23966
0.569	0.23695
0.570	0.23432
0.571	0.23175
0.572	0.22924
0.573	0.22681
0.574	0.22443
0.575	0.22211
0.576	0.21985
0.577	0.21765
0.578	0.21550
0.579	0.21341
0.580	0.21136
0.581	0.20937
0.582	0.20742
0.583	0.20552
0.584	0.20367
0.585	0.20186
0.586	0.20009
0.587	0.19836
0.588	0.19667
0.589	0.19502
0.590	0.19341
0.591	0.19184
0.592	0.19030
0.593	0.18880
0.594	0.18733
0.595	0.18589
0.596	0.18448
0.597	0.18311
0.598	0.18176
0.599	0.18045
0.600	0.17916
0.601	0.17790
0.602	0.17667
0.603	0.17546
0.604	0.17428
0.605	0.17312
0.606	0.17199
0.607	0.17088
0.608	0.16980
0.609	0.16873
0.610	0.16769
0.611	0.16667
0.612	0.16567
0.613	0.16469
0.614	0.16374
0.615	0.16280
0.616	0.16188
0.617	0.16097
0.618	0.16009
0.619	0.15922
0.620	0.15837
0.621	0.15754
0.622	0.15672
0.623	0.15592
0.624	0.15514
0.625	0.15437
0.626	0.15362
0.627	0.15288
0.628	0.15215
0.629	0.15144
0.630	0.15074
0.631	0.15006
0.632	0.14938
0.633	0.14873
0.634	0.14808
0.635	0.14745
0.636	0.14682
0.637	0.14621
0.638	0.14562
0.639	0.14503
0.640	0.14445
0.641	0.14389
0.642	0.14333
0.643	0.14279
0.644	0.14225
0.645	0.14173
0.646	0.14122
0.647	0.14071
0.648	0.14022
0.649	0.13973
0.650	0.13925
0.651	0.13879
0.652	0.13833
0.653	0.13788
0.654	0.13743
0.655	0.13700
0.656	0.13657
0.657	0.13616
0.658	0.13575
0.659	0.13534
0.660	0.13495
0.661	0.13456
0.662	0.13418
0.663	0.13381
0.664	0.13344
0.665	0.13308
0.666	0.13273
0.667	0.13239
0.668	0.13205
0.669	0.13172
0.670	0.13139
0.671	0.13107
0.672	0.13076
0.673	0.13045
0.674	0.13015
0.675	0.12985
0.676	0.12956
0.677	0.12927
0.678	0.12900
0.679	0.12872
0.680	0.12845
0.681	0.12819
0.682	0.12793
0.683	0.12768
0.684	0.12743
0.685	0.12719
0.686	0.12695
0.687	0.12672
0.688	0.12649
0.689	0.12627
0.690	0.12605
0.691	0.12583
0.692	0.12562
0.693	0.12542
0.694	0.12522
0.695	0.12502
0.696	0.12483
0.697	0.12464
0.698	0.12445
0.699	0.12427
0.700	0.12409
0.701	0.12392
0.702	0.12375
0.703	0.12359
0.704	0.12343
0.705	0.12327
0.706	0.12311
0.707	0.12296
0.708	0.12282
0.709	0.12267
0.710	0.12253
0.711	0.12240
0.712	0.12227
0.713	0.12214
0.714	0.12201
