wl	n
0.3650	1.5668392628173
0.3846	1.5625417812218
0.4042	1.558998873391
0.4238	1.5560245818158
0.4434	1.5534917655457
0.4630	1.5513094408896
0.4826	1.5494102640577
0.5022	1.5477430762607
0.5218	1.5462682004567
0.5414	1.5449543373329
0.5610	1.5437764417789
0.5806	1.5427142270639
0.6002	1.5417510853761
0.6198	1.5408732928046
0.6394	1.5400694135349
0.6590	1.5393298465553
0.6786	1.5386464761985
0.6982	1.5380123995579
0.7178	1.5374217116296
0.7374	1.5368693343464
0.7570	1.536350879366
0.7766	1.5358625370834
0.7962	1.5354009862054
0.8158	1.5349633195862
0.8354	1.5345469830251
0.8550	1.5341497244678
0.8746	1.5337695516183
0.8942	1.5334046963893
0.9138	1.5330535849471
0.9334	1.5327148123585
0.9530	1.5323871210416
0.9726	1.5320693823781
0.9922	1.5317605809622
1.012	1.5314567702944
1.031	1.531172139653
1.051	1.5308790727476
1.071	1.5305920068942
1.090	1.5303242533928
1.110	1.5300470529644
1.129	1.5297876352928
1.149	1.5295182126283
1.169	1.5292520805559
1.188	1.5290019188197
1.208	1.5287410229025
1.227	1.5284951624618
1.247	1.5282381411929
1.267	1.5279826451247
1.286	1.5277410795839
1.306	1.5274877659704
1.325	1.5272478182282
1.345	1.5269957621426
1.365	1.5267440331711
1.384	1.5265050150208
1.404	1.5262533723996
1.423	1.5260141162588
1.443	1.5257619079587
1.463	1.5255091828704
1.482	1.5252684867399
1.502	1.5250143558869
1.521	1.5247720914741
1.541	1.5245160789586
1.561	1.5242589341328
1.580	1.5240135019321
1.600	1.5237538519592
1.619	1.5235058647163
1.639	1.5232433503889
1.659	1.5229792394233
1.678	1.5227267813339
1.698	1.5224593276036
1.717	1.5222035576685
1.737	1.5219324809068
1.757	1.5216594454014
1.776	1.5213981886538
1.796	1.5211211506744
1.815	1.5208559820797
1.835	1.5205747156099
1.855	1.5202911985089
1.874	1.5200197243035
1.894	1.5197316676755
1.913	1.5194557899637
1.933	1.5191630054599
1.953	1.518867727175
1.972	1.5185848618854
1.992	1.5182845923155
2.011	1.5179969072731
2.031	1.5176914843254
2.051	1.5173833584104
2.070	1.5170880991654
2.090	1.5167745896265
2.109	1.5164741468836
2.129	1.5161551098486
2.149	1.5158331842257
2.168	1.5155246468046
2.188	1.5151969863049
2.207	1.5148829378371
2.227	1.5145494110236
2.247	1.5142128260848
2.266	1.5138902076082
2.286	1.5135475643455
2.305	1.5132191316064
2.325	1.5128703067598
